"","ID","Presa","Grupo.funcional.presa","Depredador","Grupo.funcional.depredador","Estrategia","Fuente","Expertise.depredador","Expertise.presa","Referencia","Enlace","Referente"
"123",398,"Ilex_argentinus","Cephalopoda ","Cephalorhynchus_commersonii","Delphinidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",19,"https://doi.org/10.1007/s00300-019-02607-z",NA
"124",402,"Galiteuthis_glacialis","Cephalopoda ","Cephalorhynchus_commersonii","Delphinidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",19,"https://doi.org/10.1007/s00300-019-02607-z",NA
"125",405,"Taonius*","Cephalopoda ","Cephalorhynchus_commersonii","Delphinidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",19,"https://doi.org/10.1007/s00300-019-02607-z",NA
"126",406,"Histioteuthis_atlantica","Cephalopoda ","Cephalorhynchus_commersonii","Delphinidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",19,"https://doi.org/10.1007/s00300-019-02607-z",NA
"127",407,"Histioteuthis_macrohista","Cephalopoda ","Cephalorhynchus_commersonii","Delphinidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",19,"https://doi.org/10.1007/s00300-019-02607-z",NA
"128",408,"Gonatus_antarcticus","Cephalopoda","Cephalorhynchus_commersonii","Delphinidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",19,"https://doi.org/10.1007/s00300-019-02607-z",NA
"129",409,"Kondakovia_longimana","Cephalopoda ","Cephalorhynchus_commersonii","Delphinidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",19,"https://doi.org/10.1007/s00300-019-02607-z",NA
"130",410,"Batoteuthis_skolops","Cephalopoda ","Cephalorhynchus_commersonii","Delphinidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",19,"https://doi.org/10.1007/s00300-019-02607-z",NA
"131",411,"Galiteuthis_glacialis","Cephalopoda ","Cephalorhynchus_commersonii","Delphinidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",19,"https://doi.org/10.1007/s00300-019-02607-z",NA
"132",423,"Loligo_gahi","Cephalopoda ","Eubalaena_australis","Balaenidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",19,"https://doi.org/10.1007/s00300-019-02607-z",NA
"133",424,"Ilex_argentinus","Cephalopoda ","Eubalaena_australis","Balaenidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",19,"https://doi.org/10.1007/s00300-019-02607-z",NA
"134",428,"Galiteuthis_glacialis","Cephalopoda ","Eubalaena_australis","Balaenidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",19,"https://doi.org/10.1007/s00300-019-02607-z",NA
"135",431,"Taonius*","Cephalopoda ","Eubalaena_australis","Balaenidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",19,"https://doi.org/10.1007/s00300-019-02607-z",NA
"136",432,"Histioteuthis_atlantica","Cephalopoda ","Eubalaena_australis","Balaenidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",19,"https://doi.org/10.1007/s00300-019-02607-z",NA
"137",433,"Histioteuthis_macrohista","Cephalopoda ","Eubalaena_australis","Balaenidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",19,"https://doi.org/10.1007/s00300-019-02607-z",NA
"138",434,"Gonatus_antarcticus","Cephalopoda","Eubalaena_australis","Balaenidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",19,"https://doi.org/10.1007/s00300-019-02607-z",NA
"139",435,"Kondakovia_longimana","Cephalopoda ","Eubalaena_australis","Balaenidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",19,"https://doi.org/10.1007/s00300-019-02607-z",NA
"140",436,"Batoteuthis_skolops","Cephalopoda ","Eubalaena_australis","Balaenidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",19,"https://doi.org/10.1007/s00300-019-02607-z",NA
"141",437,"Galiteuthis_glacialis","Cephalopoda ","Eubalaena_australis","Balaenidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",19,"https://doi.org/10.1007/s00300-019-02607-z",NA
"142",457,"Loligo_gahi","Cephalopoda ","Spheniscus_magellanicus","Sphenisciformes","Cazador","Heterótrofo","Aves marinas","Cefalopodos",16,"https://doi.org/10.1111/ibi.12547",NA
"143",464,"Onykia_ingens","Cephalopoda ","Globicephala_melas_edwardii","Delphinidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",21,"https://doi.org/10.1007/s00300-021-02908-2",NA
"144",465,"Martialia_hyadesi","Cephalopoda ","Globicephala_melas_edwardii","Delphinidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",21,"https://doi.org/10.1007/s00300-021-02908-2",NA
"145",466,"Chiroteuthis_veranyi","Cephalopoda ","Globicephala_melas_edwardii","Delphinidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",21,"https://doi.org/10.1007/s00300-021-02908-2",NA
"146",467,"Doryteuthis_gahi","Cephalopoda ","Globicephala_melas_edwardii","Delphinidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",21,"https://doi.org/10.1007/s00300-021-02908-2",NA
